Table 1
;All Dimensions;One Dimension;;;
;278409.00;286836.00;;;
;576889.00;704447.00;;;
;3882609.00;8563637.00;;;
;282767.00;289254.00;;;
;727948.00;948102.00;;;
;5946092.00;13082975.00;;;
;675644.00;627067.00;;;
;1762943.00;2367440.00;;;
;9783637.00;22904642.00;;;
;1012280.00;1069709.00;;;
;1991181.00;2373850.00;;;
;10677555.00;30748426.00;;;
;1041518.00;1086467.00;;;
;2698815.00;3569390.00;;;
;19044828.00;58172280.00;;;
;2342703.00;2388423.00;;;
;7151400.00;9204127.00;;;
;36649144.00;111723194.00;;;
